seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,best_merge_pair,finalpercent
1755016037,8,0.0,2944.0,2716.0,0.9225543478260868,safe,0.0,"(0, 1)",0.0
1755016037,8,0.02,2973.44,2716.160561824116,0.913474145038782,safe,0.0,"(0, 1)",0.5
1755016037,8,0.05,3017.6000000000004,2726.116795959395,0.9034056190215384,safe,0.0,"(3, 4)",0.5
1755016037,8,0.1,3091.2000000000003,2935.4189307453603,0.9496049853601708,safe,0.0,"(3, 4)",0.5
1755016037,8,0.2,3238.4,2949.895758755564,0.910911486769875,safe,0.0,"(0, 1)",0.5
1755016037,8,0.3,3385.6,3092.45246941426,0.9134134184233992,safe,0.0,"(0, 1)",0.5
1755016037,8,0.4,3532.8,3176.684521076248,0.899197384815514,safe,0.0,"(0, 1)",0.5
1755016037,8,0.5,0.0,3193.9141359256755,,,1.0,0,1.0
1755016038,8,0.0,632.0,585.0,0.9256329113924052,safe,0.0,"(4, 5)",0.0
1755016038,8,0.02,0.0,608.6381659894723,,,1.0,0,0.5
1755016038,8,0.05,0.0,612.2033158052836,,,1.0,0,0.5
1755016038,8,0.1,0.0,624.4443320171158,,,1.0,0,0.5
1755016038,8,0.2,0.0,638.6821442944374,,,1.0,0,0.5
1755016038,8,0.3,0.0,662.908658545166,,,1.0,0,0.5
1755016038,8,0.4,0.0,662.940758697305,,,1.0,0,0.5
1755016038,8,0.5,0.0,721.4607585009383,,,1.0,0,1.0
